file_name,original_size,compressed_size,compression_ratio,latency_ms,is_large_file,bug_triggered,checksum_ok,failed
large_4.bin,50000000,50015273,1.00030546,2599.845,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2692.651,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2802.613,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2332.221,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2345.26,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2326.834,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2312.055,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2335.052,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2342.61,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2326.677,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2326.848,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2313.825,0,0,1,0
small_text_4.txt,30000,22740,0.758,2328.478,0,0,1,0
small_text_5.txt,40000,30320,0.758,2316.461,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2310.8,0,0,1,0
stupid1.txt,34984320,223185,0.006379572334119971,2400.8,1,0,1,0
stupid10.txt,92927100,588322,0.006331005702319345,2511.203,1,0,1,0
stupid2.txt,174921600,1105019,0.006317224402246492,2631.961,1,0,1,0
stupid3.txt,27,27,1.0,2328.9,0,0,1,0
stupid4.txt,122978270,777700,0.00632388144669786,2555.414,1,0,1,0
stupid5.txt,104952993,664104,0.00632763279080569,2507.608,1,0,1,0
stupid6.txt,119367250,754945,0.00632455719638343,2544.575,1,0,1,0
stupid7.txt,247805617,1564312,0.00631265755368249,2776.366,1,0,1,0
stupid8.txt,11843716,77406,0.006535617706469828,2376.561,1,0,1,0
stupid9.txt,70150854,444798,0.006340592803046988,2488.077,1,0,1,0
large_1.bin,5000000,5001548,1.0003096,2522.974,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2384.409,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2417.765,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2563.603,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2692.754,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2805.826,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2359.366,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2310.228,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2326.727,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2311.682,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2330.33,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2323.479,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2329.881,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2312.603,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2323.299,0,0,1,0
small_text_4.txt,30000,22740,0.758,2338.747,0,0,1,0
small_text_5.txt,40000,30320,0.758,2328.929,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2339.166,0,0,1,0
stupid1.txt,34984320,223185,0.006379572334119971,2366.208,1,0,1,0
stupid10.txt,92927100,588322,0.006331005702319345,2507.159,1,0,1,0
stupid2.txt,174921600,1105019,0.006317224402246492,2635.14,1,0,1,0
stupid3.txt,27,27,1.0,2323.496,0,0,1,0
stupid4.txt,122978270,777700,0.00632388144669786,2553.318,1,0,1,0
stupid5.txt,104952993,664104,0.00632763279080569,2517.721,1,0,1,0
stupid6.txt,119367250,754945,0.00632455719638343,2537.941,1,0,1,0
stupid7.txt,247805617,1564312,0.00631265755368249,2763.88,1,0,1,0
stupid8.txt,11843716,77406,0.006535617706469828,2353.944,1,0,1,0
stupid9.txt,70150854,444798,0.006340592803046988,2475.546,1,0,1,0
large_1.bin,5000000,5001548,1.0003096,2422.597,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2378.726,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2424.464,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2570.26,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2668.511,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2793.256,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2349.35,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2329.348,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2338.446,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2332.764,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2333.593,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2336.113,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2322.325,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2317.967,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2336.016,0,0,1,0
small_text_4.txt,30000,22740,0.758,2320.984,0,0,1,0
small_text_5.txt,40000,30320,0.758,2336.509,0,0,1,0
